epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6558966040611267,0.0010000000474974513,0.9752178192138672,0.8027210831642151,0.5919265151023865
1,0.766235888004303,0.0010000000474974513,0.6748780608177185,0.8359788656234741,0.4919551610946655
2,0.787722110748291,0.0010000000474974513,0.6059019565582275,0.8458049893379211,0.45030009746551514
3,0.8059774041175842,0.0010000000474974513,0.5657086968421936,0.8526077270507812,0.4318056106567383
4,0.8117932081222534,0.0010000000474974513,0.5345532894134521,0.8571428656578064,0.41082528233528137
5,0.81793212890625,0.0010000000474974513,0.5229381918907166,0.8609221577644348,0.40491580963134766
6,0.8253635168075562,0.0010000000474974513,0.504069447517395,0.8563870191574097,0.39531922340393066
7,0.8252019286155701,0.0010000000474974513,0.5028964877128601,0.8699924349784851,0.3816527724266052
8,0.8327948451042175,0.0010000000474974513,0.4762748181819916,0.8722600340843201,0.38126733899116516
9,0.8363489508628845,0.0010000000474974513,0.4714986979961395,0.8745275735855103,0.3757956027984619
10,0.837479829788208,0.0010000000474974513,0.46653464436531067,0.8715041279792786,0.3674453794956207
11,0.8376413583755493,0.0010000000474974513,0.4597225487232208,0.8737717270851135,0.35795122385025024
12,0.8405492901802063,0.0010000000474974513,0.45430615544319153,0.8737717270851135,0.35727569460868835
13,0.8453958034515381,0.0010000000474974513,0.4425075948238373,0.8760393261909485,0.3554309010505676
14,0.8526656031608582,0.0010000000474974513,0.43231815099716187,0.8737717270851135,0.3552218973636627
