epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5185783505439758,0.0010000000474974513,1.2754738330841064,0.7362055778503418,0.770202100276947
1,0.6830371618270874,0.0010000000474974513,0.868535578250885,0.7649282217025757,0.6729094982147217
2,0.719386100769043,0.0010000000474974513,0.7718136310577393,0.7853363752365112,0.6158954501152039
3,0.7321486473083496,0.0010000000474974513,0.7469923496246338,0.8019652366638184,0.6007906794548035
4,0.7457188963890076,0.0010000000474974513,0.7112977504730225,0.795918345451355,0.5833860039710999
5,0.7579967975616455,0.0010000000474974513,0.6864373683929443,0.8034769296646118,0.5783519744873047
6,0.7620355486869812,0.0010000000474974513,0.6617388725280762,0.8004535436630249,0.5846477746963501
7,0.7634894847869873,0.0010000000474974513,0.6537995338439941,0.8102796673774719,0.5715859532356262
8,0.77043616771698,0.0010000000474974513,0.6455231308937073,0.8133031129837036,0.5544036626815796
9,0.7720516920089722,0.0010000000474974513,0.6421135663986206,0.8140589594841003,0.5666171908378601
10,0.7688207030296326,0.0010000000474974513,0.6431766152381897,0.8163265585899353,0.5520450472831726
11,0.7764135599136353,0.0010000000474974513,0.6215130686759949,0.808012068271637,0.5546347498893738
12,0.7836833596229553,0.0010000000474974513,0.618257999420166,0.8125472664833069,0.5426032543182373
13,0.7714055180549622,0.0010000000474974513,0.6295510530471802,0.8125472664833069,0.5499556064605713
14,0.7693053483963013,0.0010000000474974513,0.6404203176498413,0.8163265585899353,0.5284981727600098
